name,url,city,count
"Главный инспектор, Категория D-3","https://enbek.kz/ru/vacancy/glavnyi-inspektor-otdela-administrativno-kadrovoi-raboty-glavnyi-inspektor,-kategoriya-d-3~4857812",Тараз,1
Инженер по комплектации оборудования,https://enbek.kz/ru/vacancy/specialist-po-komplektacii-oborudovaniya-inzhener-po-komplektacii-oborudovaniya~4857811,Усть-Таловка,1
Администратор зала,https://enbek.kz/ru/vacancy/administrator-magazina-administrator-zala~4857807,Кокшетау,1
Машинист катка самоходного с гладкими вальцами,https://enbek.kz/ru/vacancy/mashinist-katka-mashinist-katka-samokhodnogo-s-gladkimi-valcami~4857806,Атырау,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii~4857805,Кызыларык,1
Оператор охранной сигнализации и видеонаблюдения,https://enbek.kz/ru/vacancy/nablyudatel-pozharno-nablyudatelnoi-vyshki-operator-okhrannoi-signalizacii-i-videonablyudeniya~4857804,Бородулиха,1
Водитель-экспедитор,https://enbek.kz/ru/vacancy/voditel-voditel-ekspeditor~4857803,Астана,1
Уборщик в школах,https://enbek.kz/ru/vacancy/uborshchik-sluzhebnykh-pomeshchenii-uborshchik-v-shkolakh~4857802,Аксу,1
Кредитный менеджер,https://enbek.kz/ru/vacancy/personalnyi-menedzher-kreditnyi-menedzher~4857801,Абай,1
Кладовщик,https://enbek.kz/ru/vacancy/kladovshchik-kladovshchik~4857798,Усть-Каменогорск,1
Юрист,https://enbek.kz/ru/vacancy/yurist-yurist~4857797,Бейнеу,1
Маляр-штукатур,https://enbek.kz/ru/vacancy/shtukatur-malyar-malyar-shtukatur~4857794,Темиртау,1
Уборщик в школах,https://enbek.kz/ru/vacancy/uborshchik-v-shkolakh~4857788,Айнабулак,1
Электромонтер по эксплуатации распределительных сетей,https://enbek.kz/ru/vacancy/elektromonter-po-ekspluatacii-raspredelitelnykh-setei~4857786,Бородулиха,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochii-raznorabochii~4857785,Темиртау,1
