name,url,city,count
HR-менеджер в сеть ресторанов,https://hh.ru/vacancy/121469941,Астана,1
Директор магазина,https://hh.ru/vacancy/121527853,Астана,1
Менеджер в пункт выдачи заказов,https://hh.ru/vacancy/121361806,Не указано,1
Data Analyst,https://hh.ru/vacancy/121490913,Не указано,1
BI-аналитик (Power BI),https://hh.ru/vacancy/121382537,Не указано,1
Администратор,https://hh.ru/vacancy/121483597,Не указано,1
Медицинская сестра/Медицинский брат,https://hh.ru/vacancy/121341463,Астана,1
Ассистент-помощник для менеджера WB,https://hh.ru/vacancy/120355304,Не указано,1
Официант/раннер,https://hh.ru/vacancy/121413891,Астана,1
Снабженец,https://hh.ru/vacancy/121500405,Не указано,1
Менеджер по туризму,https://hh.ru/vacancy/120820773,Астана,1
Менеджер по работе с партнерами,https://hh.ru/vacancy/121171223,Нур-Султан (Астана),1
Маркетолог,https://hh.ru/vacancy/121458572,Астана,1
Раннер,https://hh.ru/vacancy/120574475,Астана,1
Медицинская сестра/Медицинский брат,https://hh.ru/vacancy/121186770,Астана,1
Менеджер отдела логистики,https://hh.ru/vacancy/121415979,Астана,1
Кладовщик склада готовой продукции,https://hh.ru/vacancy/121517195,Астана,1
Бухгалтер-кассир,https://hh.ru/vacancy/121473374,Астана,1
Главный менеджер по обработке корреспонденции,https://hh.ru/vacancy/121514957,Не указано,1
Юрист,https://hh.ru/vacancy/121516407,Астана,1
Продавец консультант (на сат сити асфендиярова),https://hh.ru/vacancy/121473618,Астана,1
Бариста,https://hh.ru/vacancy/121516041,Нур-Султан (Астана),1
Офис-менеджер,https://hh.ru/vacancy/121527013,Не указано,1
"Администратор в ""Astana Boxing Club""",https://hh.ru/vacancy/120475654,Астана,1
Управляющий (управляющая),https://hh.ru/vacancy/121201171,Астана,1
Кассир-Бариста в ZEBRA COFFEE,https://hh.ru/vacancy/121232149,Астана,1
Бухгалтер в художественную школу,https://hh.ru/vacancy/121470122,Не указано,1
Исполнитель по договору возмездного оказания услуг (юрист),https://hh.ru/vacancy/121475310,Не указано,1
"Продавец-консультант/продавец-кассир в MANGO Мега Силквей, Керуен Сити, Республика 18, Абу Даби",https://hh.ru/vacancy/119235037,Не указано,1
Администратор в хоккейную школу,https://hh.ru/vacancy/121482787,Астана,1
"Кассир-продавец на АЗС ""Nomad Oil"" на АЗС",https://hh.ru/vacancy/108974177,Астана,1
"Администратор в музыкальной школе, международная сеть",https://hh.ru/vacancy/121330474,Астана,1
Менеджер Каспи магазина,https://hh.ru/vacancy/120909883,Астана,1
Специалист отдела кадров,https://hh.ru/vacancy/121520968,Астана,1
Агент по обслуживанию пассажиров,https://hh.ru/vacancy/120925582,Не указано,1
СММ специалист,https://hh.ru/vacancy/121525433,Астана,1
"Менеджер отдела продаж (чаты/звонки Whatsapp, Instagram)",https://hh.ru/vacancy/121372679,Астана,1
Администратор ресепшен INVICTUS HIGHVILL,https://hh.ru/vacancy/121103517,Астана,1
Кассир,https://hh.ru/vacancy/121403541,Астана,1
