name,count
Главный менеджер отдела контроля качества клиентского сервиса,1
Водитель с личным автомобилем г. Астана,1
Креативщик (SMM-специалист),1
Менеджер по продажам мероприятий (ивент-сфера),1
Продавец в сеть магазинов спорттоваров,1
Хостес в ресторан,1
Инженер входного контроля,1
ИТ-специалист,1
Продавец-консультант в Корейский Магазин Miko,1
IELTS Teacher,1
Педагог-психолог,1
Медсестра/медбрат в процедурный кабинет,1
Бармен / Bartender,1
Региональный представитель Астана,1
Специалист по информационной безопасности,1
Исполнитель ДВОУ переводчик китайского языка,1
Бренд- и PR-менеджер,1
Инженер по охране окружающей среды (Эколог),1
Секретарь/архивариус,1
Заместитель главного бухгалтера по налогам,1
Офис менеджер с функциями СММ,1
Ведущий менеджер по продажам,1
Аналитик данных,1
Специалист по карточному оборудованию,1
Специалист,1
Главный механик на участке,1
Бухгалтер + Финансовый менеджер,1
Помощник руководителя,1
Ресепшионист-кассир в гостиницу,1
Администратор Салона красоты,1
Руководитель технической поддержки,1
Менеджер по продажам в международную компанию,1
Менеджер департамента администрирования обучения,1
Помощник официанта / Раннер,1
Продавец-кассир (Happy Cake),1
Оператор в ПВЗ Озон,1
Java-разработчик (backend),1
Ведущий аниматор,1
Куратор в школу программирования,1
Личный помощник генерального директора,1
Стажер по передаче заказов,1
Компания отопительных систем Alseit,1
Региональный представитель (битум/нефтехимия),1
Sales Intern,1
Ментор (Астана),1
Ассистент тренера по детскому футболу,1
"Управляющий в сеть компьютерных клубов ""Status Cyber Arena """,1
Cистемный администратор (Молодежная практика),1
Администратор в фитнес студию,1
Администратор (клиника красоты и эстетики OPATRA LONDON),1
Начальник производственного отдела,1
Ведущий-обзорщик в Sxodim Astana,1
Инженер второй линии технической поддержки/Системный администратор,1
Библиотекарь,1
Комплектовщик на склад 2/2,1
Инженер сектора ИТ,1
"Сборщик заказов (Алаш, 23/1)",1
"Менеджер фотобудки (работа в парке, 2/2) без продаж и кассы",1
Младший Продавец-консультант,1
Вожатый,1
Менеджер АХД,1
Backend Java разработчик (Middle/Middle+/Senior),1
Business assistant | бизнес ассистент | ассистент руководителя,1
"Промоутер-консультант в магазин ""Мечта"" ул.Сыганак 3.",1
Водитель - помощник,1
Преподаватель английского языка (speeking club) в школу Assel Amangeldi,1
Менеджер пункта выдачи заказов,1
Руководитель отдела Brand Management,1
Кавист,1
Middle Full-Stack Разработчик,1
Секретарь,1
Менеджер по продажам ювелирных изделий,1
"Преподаватель IELTS и General English (Intermediate, Upper-Intermediate, Advanced)",1
Инженер-конструктор CAD/Специалист по 3D-CAD,1
Фитнес-тренер / Партнёр по тренировкам,1
Менеджер каспий магазина,1
Менеджер ресторана Golden Birds,1
Помощник мастера,1
Преподаватель (Мастер классы),1
Администратор в школу актерского мастерства,1
Менеджер Административно-хозяйственного отдела,1
Таргетолог/ SMM-специалист,1
Руководитель производственного департамента,1
Бухгалтер-операционист,1
Продавец-консультант в магазин ART Optika,1
Управляющий в кофейню,1
Специалист по сертификации / Координатор,1
Главный менеджер по управлению риску и внутреннему контролю,1
Зоопомощник / Передержка,1
Процедурная медсестра / Процедурный медбрат,1
Главный специалист по управлению персоналом,1
Менеджер call-центра (аренда автомобилей),1
Машинист козлового крана,1
Финансист,1
Главный менеджер Департамента «Казначейство и Корпоративные Финансы»,1
Менеджер-переводчик,1
Визовый специалист,1
Администратор Зуботехнической лаборатории,1
Специалист технической поддержки в Tele2/Altel,1
Няня гувернантка/гувернер,1
Менеджер онлайн магазина,1
Оператор колл-центра в цветочный магазин,1
Торговый представитель (моторные масла),1
Парковщик самокатов,1
Помощник юриста (г. Астана),1
Уборщица (Уборщик),1
Администратор торгового зала Дилерского Центра (ZEEKR/Volkswagen/KAIYI/Lynk&Co),1
